Time,Conc,Size,Salinity,Conductivity,O2,pH,OM,NO3wat,NO2wat,NH4wat,NO3sed,NO2sed,NH4sed,Denitrification,Cuenv,Feenv,Cuexc,Feexc,DAPI,Foldch16S,FoldchnosZ,FoldchnirS,FoldchnirK,copy16,copynos,copynir
h,µg/g,nm,psu,mS/cm,mg/L,,%,µmol/L,µmol/L,µmol/L,nmol/g,nmol/g,nmol/g,nmol/g/h,µg/g,mg/g,µg/g,mg/g,cell/g,log2FC,log2FC,log2FC,log2FC,copy nr/g,copy nr/g,copy nr/g
1,0,50,21,33.2,5.4,8.08,0.97,40.65,0.6,13.2,12.37,7.39,96.71,,3.2,3.93,0.14,0.06,3.46E+09,0.9123,,,,2.49E+10,4.29E+01,2.49E+04
1,0.01,50,21,33.1,4.8,8.08,0.84,36.91,0.61,14.12,9.27,7.52,133.62,,3.72,2.72,0.17,0.08,6.43E+09,0.6168,1.5186,0.9482,0.6311,2.02E+10,1.04E+02,4.11E+04
1,0.1,50,21,33.2,4.5,8,1.12,40.2,0.47,12.54,6.45,7.33,122.29,,3.81,5.43,0.12,0.09,3.29E+09,0.1619,2.3578,1.3947,2.4334,4.72E+09,4.01E+01,1.17E+04
1,1,50,21,32.7,4.9,7.23,1.02,38.93,0.45,12.43,9,8.26,143.56,,2.7,4.32,0.12,0.07,4.97E+09,0.3686,5.1268,4.6854,0.8465,1.08E+10,7.02E+02,3.24E+05
4,0,50,21,32.9,4.7,8.05,0.88,32.32,1.18,23.69,8.5,7.63,122.54,,4.2,5,0.15,0.09,3.23E+09,0.9123,,,,1.27E+10,2.45E+01,1.77E+04
4,0.01,50,21,33.2,4.9,8.06,1.05,32.7,0.97,18.02,8.45,7.22,126.04,,4.69,6.03,0.16,0.09,5.15E+09,0.0605,7.2594,2.7535,2.479,4.78E+09,5.34E+02,1.30E+04
4,0.1,50,21,33.3,4.8,8.07,1.26,36.48,0.75,12.12,9.17,7.01,135.74,,3.7,3.88,0.12,0.1,4.11E+09,0.3939,-1.8149,-1.8753,1.5738,1.15E+10,5.06E+00,2.72E+03
4,1,50,21,32.9,4.8,7.8,1.08,38.26,0.66,15.59,11.53,7.77,131.75,,7.61,6.39,0.18,0.09,5.84E+09,0.0322,9.9305,9.6331,4.8994,4.44E+09,1.77E+03,9.33E+05
7,0,50,21,33,4.8,8.15,1.01,31.94,1.08,24.88,7.54,7.67,148.04,4.34,3.7,3.62,0.16,0.09,2.18E+09,0.8172,,,,2.51E+10,5.17E+01,3.38E+04
7,0.01,50,21,32.7,4.8,8.16,1.03,30.6,0.99,18.12,7.02,7.43,157,5.28,3.76,3.9,0.15,0.1,5.76E+09,0.0204,9.7431,9.5479,5.4728,7.12E+09,1.19E+03,7.17E+05
7,0.1,50,21,32.8,4.7,8.06,1.03,28.44,1.18,34.56,7.6,7.71,230.16,5.37,4.15,4.37,0.13,0.08,4.51E+09,0.2268,7.9036,7.1696,2.2413,6.52E+09,3.76E+03,1.56E+06
7,1,50,21,32.9,4.8,7.85,0.94,26.43,0.93,30.78,6.79,6.99,139.4,6.17,4.67,4.71,0.2,0.08,6.03E+09,0.1028,8.4578,6.5539,2.729,3.21E+09,2.64E+03,4.57E+05
24,0,50,21,33.2,5,8.12,0.97,44.97,4.57,69.85,8.41,8.03,325.89,,2.69,3.45,0.13,0.08,1.51E+09,0.2533,,,,7.15E+09,1.91E+01,2.15E+04
24,0.01,50,21,33.1,5,8.26,0.98,41.86,3.8,77.75,8.29,8.05,210.21,,2.78,4.65,0.11,0.09,3.92E+09,0.0116,12.0332,11.7065,4.7866,6.30E+09,5.47E+03,5.31E+06
24,0.1,50,21,32.6,5.1,8.29,0.98,44.95,2.78,75.8,10.87,7.71,238.23,,4.72,5.31,0.13,0.09,3.78E+09,0.299,3.3789,0.7961,0.4939,8.63E+09,2.75E+02,5.13E+04
24,1,50,21,32.9,5.2,8.08,1.02,6.11,0.99,80.65,5.36,7.8,209.39,,5,5.61,0.21,0.09,5.38E+09,0.9225,2.4967,1.7512,-1.7887,2.51E+10,4.44E+02,3.01E+05
48,0,50,21,33.6,5.1,8.29,1.05,34.58,7.66,78.72,6.26,7.52,255.82,,3.25,3.34,0.15,0.09,3.23E+09,0.0195,,,,6.51E+09,9.81E+01,9.56E+03
48,0.01,50,21,33.8,5,8.29,0.97,39.93,5.11,27.77,8.62,7.2,296.97,,3.74,3.87,0.12,0.09,4.02E+09,0.382,-7.1362,-2.9189,-3.6636,1.16E+10,1.38E+01,2.58E+04
48,0.1,50,21,33.7,3.8,7.84,1.25,14.13,6.71,213.46,5.14,7.31,299.18,,3.63,4.37,0.13,0.09,6.58E+09,0.4682,-3.6775,-1.7414,-4.275,1.27E+10,1.73E+02,6.85E+04
48,1,50,21,33.9,4.5,8.28,0.73,39.1,1.6,11.39,8.55,7.79,179.9,,5.21,4.8,0.21,0.09,8.47E+09,0.5585,-4.5787,-3.061,-4.9821,1.74E+10,1.25E+02,3.31E+04
144,0,50,21,34.2,4.9,8.65,1.24,245.09,0.17,92.23,8.59,7.33,367.44,,3.28,4.18,0.17,0.11,3.23E+09,0.3599,,,,1.08E+10,1.00E+01,2.61E+04
144,0.01,50,21,34.3,4.8,8.59,1.13,167.59,0.17,88.4,6.97,7.22,195.05,,3.73,4.78,0.12,0.1,5.39E+09,0.0256,5.328,-3.5292,3.7654,9.28E+09,3.12E+01,8.92E+04
144,0.1,50,21,34.3,4.9,8.31,1.07,184.09,0.25,89.88,7.2,9.29,161.65,,5.96,6.1,0.11,0.1,3.82E+09,0.6652,2.1378,1.7554,-0.6141,1.88E+10,8.06E+01,1.68E+05
